"GSM3433436"	"GSM3433437"	"GSM3433438"	"GSM3433439"
"TSPAN3"	9645.853	6163.925	10504.28	7205.215
"GSTP1"	20481.54	18584.51	10713.81	14096.04
"MMP25"	48.94404	40.74689	9.434617	46.94917
"CAPN1"	6753.34	3833.641	3977.73	3762.304
"SPRR3"	10.63468	6.085564	-3.093946	31.24101
"DEFA6"	-17.0191	3.820651	-4.416455	18.86266
"UPK1A"	741.6969	684.0737	436.0565	344.5258
"OTUD6A"	19.70131	45.50415	49.16285	77.09355
"MFHAS1"	53.56749	50.77597	28.18913	38.39775
"SGK3"	80.39143	78.62955	202.9882	287.1968
"MAP3K7IP2"	109.2014	151.3851	417.0235	498.8564
"LOC352909"	74.54325	72.82792	43.65154	92.63499
"MATK"	21.34514	21.67864	3.307052	40.07737
"RAET1E"	56.34664	57.94949	15.46326	44.47075
"ARTN"	24.3077	12.5699	7.644006	29.49729
"MED8"	141.5369	106.1334	72.96951	81.07268
"EPHA7"	25.67354	8.426062	5.286737	43.20801
"SMURF1"	216.9721	262.1563	129.1582	279.9684
"SNRPA"	563.993	593.0547	307.9421	325.1389
"CUGBP1"	56.90549	58.1438	56.61497	115.6395
"NCDN"	507.3507	508.8788	272.8331	270.0229
"HEY2"	16.13669	23.77573	4.973325	36.9221
"OR1D4"	10.9594	13.24405	4.560944	19.69849
"HTR4"	-6.952581	-3.246824	7.829315	23.68174
"CSTA"	66.2817	80.12379	54.78219	82.00471
"SIAE"	461.9017	350.3377	648.1752	592.8432
"KIAA1446"	219.0695	120.463	102.608	110.0952
"HCLS1"	77.70151	85.8795	56.21176	108.1186
"CRHBP"	-0.3485147	9.170056	3.170343	20.66488
"ARHGAP8"	18.49856	22.13948	6.104419	40.53138
"NOSTRIN"	20.60748	16.0217	11.50274	56.27487
"MARCH8"	15.90639	15.63126	4.75328	28.88702
"NUP155"	662.2278	665.8319	577.0437	611.5807
"FN3K"	30.19086	24.60754	9.823312	39.67363
"EDA"	97.98398	54.40754	36.05485	46.99885
"IL7R"	3.682886	16.54559	17.50223	21.50193
"FAM98B"	0.522538	10.19673	0.08028863	32.79147
"MARK4"	29.90332	33.95764	19.64569	45.1282
"TAS2R40"	5.930316	6.415556	2.394106	33.54647
"POF1B"	20.1046	24.40314	28.3488	49.97254
"P2RX2"	36.32558	18.88224	3.189247	43.80523
"NCOA3"	485.4402	725.6683	1328.508	1688.95
"TMOD1"	219.6855	209.8466	139.8919	171.0167
"STAT5A"	649.1118	648.3176	313.7425	338.2863
"HES1"	110.4466	680.596	108.7684	435.26
"H2AFY2"	2192.298	2063.554	1788.48	1884.275
"LOC284296"	47.25784	61.98336	23.37038	63.77795
"HOXC13"	265.9899	226.4847	177.1306	284.8969
"SCN8A"	59.47645	42.9183	13.96216	44.49807
"PDE1C"	33.4604	29.39377	23.10829	43.83916
"MPHOSPH10"	359.3261	203.6511	885.0449	1054.027
"POLR2H"	5691.17	7063.788	3742.998	4353.578
"ADAT1"	408.4558	390.0757	254.8412	255.7664
"PWP1"	3193.121	3165.808	1871.296	1903.205
"SLC27A5"	401.1657	523.4747	161.9685	151.8291
"ADARB2"	-4.982118	2.257178	-5.426765	32.04128
"PLSCR4"	956.42	813.3782	2895.739	1985.49
"NBPF11"	21.951	29.95169	6.100717	44.14476
"MARVELD2"	102.0243	129.2374	134.2712	172.3876
"REPIN1"	1073.656	807.8151	511.9596	510.98
"TMEM103"	34.60197	31.10255	17.92373	49.64335
"FAM38B"	2263.806	2081.657	3891.904	3466.172
"P2RX5"	12.55232	24.72117	6.509867	39.41812
"SCYL3"	340.2758	320.3349	474.5422	450.5325
"HEYL"	44.48457	52.6105	15.27387	36.69294
"ALG5"	2370.23	3766.27	3539.172	3531.75
"ZNF646"	142.3557	135.0908	83.64367	123.8912
"ACCN4"	482.3616	465.3306	243.259	348.8699
"PPM1A"	29.52929	30.09985	38.17325	74.67448
"SLC16A10"	-1.626687	10.12856	17.31537	34.69702
"TMEM39B"	425.2315	345.1235	233.8559	304.682
"BTBD14A"	865.8169	632.1942	537.3956	789.9896
"C20orf67"	285.5102	206.011	222.5676	188.3169
"FST"	169.7499	479.6668	160.9388	238.1625
"LOC493856"	440.9381	772.59	545.4736	621.8196
"BAGE4"	15.28104	22.53033	0.1880207	23.95014
"CASP14"	11.25251	7.660281	2.934384	25.99746
"PREI3"	259.2172	187.4424	758.4323	783.8792
"UTP14C"	474.364	706.8049	1549.05	1892.203
"FLJ43752"	48.6378	18.56233	8.030927	34.02352
"DUPD1"	6.118348	11.34243	4.646933	47.36669
"SAMD13"	-1.277187	2.969386	0.9720593	44.20572
"ZNF423"	15.51266	22.64218	1.431299	17.52167
"OR8U8"	10.58311	12.02702	-6.254454	23.15663
"OR7G3"	21.83281	33.9358	13.48608	32.21432
"PPP1R12B"	19.50713	10.67374	16.73222	40.23575
"SH2D1B"	2.464968	5.837165	-8.986712	28.91584
"KRT2A"	16.2417	19.37093	8.018187	49.81401
"C9orf100"	24.0786	25.20858	5.277145	26.9385
"WFDC8"	1.23812	12.89392	7.657088	28.4421
"CRIM1"	1705.931	552.0571	2352.697	2074.043
"MGC21644"	32.22797	22.28216	18.44632	39.17907
"BUB1"	98.71787	97.10446	145.4731	85.85075
"FUT3"	28.86739	40.87715	11.34401	36.79644
"SPHAR"	182.0932	250.7641	391.1686	514.3187
"RDH13"	768.4409	460.3367	485.5296	392.2922
"ASPA"	52.42336	65.93319	80.17541	111.5359
"NPTXR"	61.79239	66.65448	15.74301	52.79916
"TCF7L2"	387.5152	253.4331	333.0852	227.6107
"PCDHA5"	9.677329	9.383168	-6.126997	30.91821
"LOC63920"	57.90523	119.7872	154.9309	212.0201
"GPR15"	137.5054	162.2347	145.5303	160.856
"ALDH4A1"	528.3149	582.5694	392.72	613.8124
"TIGD7"	33.46464	46.44013	95.93886	169.6823
"KIAA1199"	25944.48	14417.72	19747.72	13115.43
"PGK1"	9992.185	9859.691	4671.158	5012.932
"BMP5"	-2.307515	10.72962	-0.901006	41.85553
"REEP4"	210.9236	213.3748	148.0935	222.6962
"PPT2"	125.7358	228.7284	38.80907	74.87876
"MGAT5B"	51.01334	31.98005	20.19547	63.49548
"WNT7A"	65.41888	60.00064	68.34233	120.3109
"XKR4"	13.04687	2.253766	-2.349373	41.48246
"NOL3"	218.8183	372.5948	93.9501	120.7794
"KRTAP4-5"	7.377442	12.51756	-2.674012	25.96785
"ACSM3"	30.60608	27.10048	17.99587	78.66328
"CASP1"	459.5627	588.7432	661.7672	372.1376
"PROP1"	39.62994	32.71835	19.19285	49.24647
"PRPF19"	3245.732	1773.746	1571.639	1607.551
"ADRA1B"	2636.512	1844.237	2117.163	474.7095
"NARFL"	207.8096	238.7285	77.08872	120.7415
"UCP3"	73.68181	52.93324	71.99313	140.0204
"TAS2R48"	-1.673081	-0.6029628	-0.6334103	22.53095
"OR2B6"	13.80075	12.2391	8.092497	43.31754
"STAT6"	1637.67	1329.807	692.5125	689.7546
"COL4A3BP"	453.2316	319.3972	1025.543	1142.786
"CACNG5"	16.91171	15.4464	10.60305	40.52365
"HOXC9"	107.9981	138.4055	82.21517	155.5228
"PYCR1"	36.85936	55.69883	17.18572	56.91489
"TRIM49"	29.13488	21.94725	3.482794	33.44408
"LOC492311"	254.9287	130.8315	2172.312	2456.191
"RPL28"	828.3016	1004.77	467.5922	467.0045
"NALP11"	17.61443	15.58435	6.989933	42.74072
"C3orf32"	13.44272	15.76874	2.484478	37.20679
"SLAMF9"	25.13988	22.59319	3.172696	36.02257
"LRRC45"	571.0967	352.1674	325.6352	288.3727
"C9orf27"	4.229387	6.058626	-6.602617	17.77394
"MRPS21"	9168.887	8287.312	5800	6305.843
"SUPT3H"	168.9376	149.321	222.3531	289.562
"DSCR9"	30.96095	26.3378	1.704974	58.00817
"CDC42EP3"	69.54188	56.339	66.54722	156.3806
"C16orf60"	682.3116	1217.95	598.0956	714.4882
"MME"	31.69572	32.76863	6.7557	47.79325
"TLE1"	1911.699	1135.691	1063.539	1086.175
"CHKB"	474.9063	713.0497	192.3711	222.8421
"HPN"	9.284282	9.305553	-1.287577	29.33636
"C2orf28"	930.2822	623.5066	441.2544	347.4805
