"GSM3433436"	"GSM3433437"	"GSM3433438"	"GSM3433439"
"ZFAND3"	401.647	408.2241	230.4372	279.9219
"TGFBR3"	163.4571	44.76743	233.9744	109.0096
"TBX3"	91.65317	147.854	42.12142	107.388
"SSB"	1655.28	997.9488	4870.301	4540.455
"RARS"	5107.393	6522.958	6069.362	6833.268
"NFATC1"	-2.981887	-7.17177	-1.642227	31.35581
"PPIA"	600.0157	397.2939	254.3967	280.5036
"PYGL"	4156.232	4077.999	4407.558	1947.149
"PLXNB1"	1869.162	1470.49	822.9302	784.5703
"KHDRBS1"	567.6171	584.3156	599.5012	829.7982
"CALCA"	-6.663005	-0.8030399	-8.714282	17.46482
"LOXL2"	29.08022	21.67099	1.578854	41.81837
"CD47"	657.4091	695.1572	1876.577	1713.24
"RASSF8"	88.91058	69.45868	36.36045	74.89877
"INPP4B"	386.2311	358.3317	302.2903	367.2353
"NPTX2"	118.49	139.1174	84.84598	54.39345
"NDST3"	6.782851	4.218185	6.728116	40.65495
"NSD1"	73.0213	70.52452	61.56096	130.1948
"GPR42"	5.069875	7.298415	-9.550117	26.08443
"ABL1"	2343.349	1698.36	1397.722	1731.126
"AACS"	710.5007	724.3439	403.7137	468.2293
"MYO1D"	578.4262	535.6395	544.8715	796.6963
"KLHL14"	16.92956	18.83475	4.370392	40.66979
"ACRBP"	0.3639109	8.683648	6.839134	30.23348
"ZNF692"	89.7797	78.27808	59.79411	130.7011
"RHOQ"	6803.41	6065.773	9912.065	10585.73
"CGB1"	-10.72782	-0.2482466	-8.157106	14.56889
"CLDN15"	472.3815	227.8659	252.1706	96.72163
"C20orf118"	6.75622	8.106564	-3.306152	32.18562
"RNF38"	692.0106	763.1906	1355.133	1718.289
"ZNF291"	79.1074	57.75396	171.478	205.3107
"EGFL7"	279.8434	382.6449	64.884	108.1548
"S100A7"	24.74867	12.28302	16.86734	46.63228
"CD300LB"	11.46988	8.850855	3.365351	27.69392
"CRLF3"	88.40827	80.58578	107.6941	147.1257
"MGC10993"	500.2477	601.0104	235.6525	247.8653
"KIAA1772"	25.6852	22.25542	15.83451	51.26601
"HSPC138"	705.7211	559.3736	568.2099	511.1215
"LOC196913"	4.372014	6.783282	-4.289562	31.20909
"TSC1"	487.1215	347.5313	452.9507	477.4831
"DEFB137"	-7.950574	1.96233	-5.755169	23.66993
"HIPK4"	1.601099	18.48473	-4.172671	30.76983
"TNNT2"	116.013	91.02742	93.42267	90.36244
"MGC71993"	10557.61	9044.277	4534.399	4920.079
"ACTN4"	4789.762	5028.699	2478.166	3566.662
"NOMO1"	931.2459	605.6733	447.4346	494.0167
"ZDHHC13"	433.9001	451.7119	491.3036	515.8856
"FLJ16323"	12.79574	14.80159	15.92752	31.96559
"GPR157"	11.51115	9.217052	15.401	38.29964
"PLA2R1"	49.53372	33.15163	72.09637	136.5438
"VPREB3"	32.78122	44.84397	15.72552	47.78391
"C14orf147"	342.2747	314.2785	592.3077	728.3973
"DNAJB12"	120.1141	111.8327	28.1817	56.19581
"OR51Q1"	10.25046	15.31623	-9.399657	45.06971
"LOC400968"	6.94789	-2.806789	-4.962221	24.36125
"CARKL"	49.94368	61.90923	13.94893	61.775
"HCP1"	616.7413	470.3511	345.3952	183.9484
"SRMS"	8.012502	8.182809	-9.058961	16.37062
"CXorf1"	26.0031	9.782929	52.24834	41.55673
"RPL13"	5553.326	5004.404	1971.059	1817.067
"VAPA"	33.31895	32.94154	101.5438	121.0329
"FLJ39502"	10.00975	3.865227	2.084669	38.53966
"LOC159090"	127.722	160.8487	418.7438	426.4785
"IL1RAPL2"	12.37572	6.422626	0.9942692	35.55763
"MGC35402"	9.295601	12.90536	3.01893	50.61807
"ZNF721"	210.5054	112.1818	1362.741	1443.943
"OACT5"	1616.04	1460.04	1132.553	919.2558
"EIF4E"	-2.546105	2.627101	3.199285	33.79592
"FAM3A"	5952.123	4565.477	3341.629	3632.131
"SFRS10"	1707.359	2343.512	2389.593	2365.555
"KIF3B"	688.3041	896.7347	529.9029	600.5003
"PSMC3"	6113.918	5280.733	2720.233	3233.317
"UBE1C"	822.4764	933.893	1788.392	1731.245
"NR2F2"	387.4941	302.0761	312.5961	318.03
"SBF1"	2806.679	1829.158	1624.085	2066.834
"CCL5"	289.2933	213.2717	118.2844	130.6384
"FLI1"	241.4391	254.246	284.5199	347.315
"KRT12"	9.447177	11.39742	10.4836	41.05862
"THY1"	15745.93	12997.31	7929.164	7858.872
"EID3"	176.9304	94.74872	361.7004	235.2234
"CIITA"	22.15413	26.78557	8.62817	51.4954
"ADRBK1"	9.476779	6.052298	6.351998	34.31833
"RALA"	2292.809	2992.121	4810.544	6632.763
"CCBL1"	437.2152	376.2454	324.6654	376.4827
"AIPL1"	33.91582	29.79706	13.96885	61.95038
"AQP3"	23.64669	47.64923	5.729947	43.2571
"NIF3L1BP1"	3512.133	3422.622	5620.4	5995.446
"LOC223075"	35.65127	36.77677	12.23661	58.20193
"HMX1"	0.2623473	8.463671	6.521861	33.02715
"REST"	39.17497	58.3936	64.79018	127.5194
"CERK"	3040.566	3397.819	2181.24	2374.619
"ENPEP"	19.97989	17.86639	16.57767	50.06598
"EPHX2"	1680.7	1583.084	1045.797	644.803
"LRP1"	531.3078	538.4373	187.8103	329.2936
"BSN"	115.3664	89.08971	87.76555	124.0017
"FGF16"	6.756456	11.18301	-4.682239	32.08357
"KIR2DS1"	29.63885	20.1506	25.94925	70.12762
"HMG1L1"	713.9985	924.7356	2281.994	2151.162
"SAMD7"	39.1215	43.63547	21.94062	35.69662
"ZNF195"	84.79227	113.4526	319.6119	472.4676
"ETV2"	42.27416	43.07418	13.65899	40.35934
"PACS2"	257.3802	251.3858	92.77602	139.9864
"MRPL27"	2985.631	3412.871	1246.063	1042.868
"ZNF319"	1619.004	1057.019	1076.118	1034.577
"ZC3H8"	252.302	205.0929	741.4266	637.3391
"FAM113A"	491.7961	552.8555	458.2454	469.8289
"CGB2"	15.07435	14.77503	7.002007	40.55701
"MFSD3"	6772.774	5326.396	2745.991	2610.838
"LOC196541"	10.64321	10.5518	6.281328	35.96165
"PCDHB16"	42.0841	12.29744	21.03656	43.38414
"CNOT4"	507.8629	498.332	416.3813	525.0971
"SEMA4G"	76.10785	65.60577	50.31114	97.90002
"TDRD4"	22.21352	21.94823	19.36148	44.45221
"SAS10"	979.6326	1153.092	2933.006	2785.285
"C2orf13"	42.59768	43.46357	20.8134	58.19431
"SLC15A4"	645.6197	732.3732	474.7714	556.0757
"SSX9"	-1.189981	2.342117	-9.593546	24.78762
"C6orf10"	3.819179	8.65146	2.765486	25.47915
"OR6V1"	24.55549	31.61637	16.37163	48.1552
"MLYCD"	522.5831	524.8367	321.0487	282.4982
"SLC26A7"	-0.2371659	3.783818	-9.095038	25.95538
"LOC442578"	706.5703	799.1418	596.5684	825.2375
"TIMM10"	2946.242	4974.298	1846.664	1761.486
"AFAR3"	4.707383	14.6769	6.521646	43.77924
"PDIA2"	69.5741	88.37543	29.15179	81.92082
"CD164"	474.0466	647.7246	3524.732	3702.297
"LIX1"	1.652208	1.855426	2.424868	31.66346
"ASZ1"	-0.03148171	-8.840917	7.106489	38.35617
"C14orf43"	578.575	283.0565	480.3375	427.5039
"FLJ10726"	450.8796	476.0814	344.5435	481.25
"GDF3"	34.15401	28.7706	20.69531	74.30056
"GCHFR"	1017.206	1170.165	408.3179	335.796
"CNR1"	6.592646	14.34601	7.941752	29.7958
"CA14"	14.32965	22.90413	14.39968	46.5283
"CD40"	357.133	456.8258	119.9006	101.846
"LACTB"	600.2498	641.7675	1290.677	1067.506
"STUB1"	2054.364	2285.739	755.7487	604.3579
"VEZT"	953.3571	987.0406	1165.143	1722.916
"CT45-6"	16.7886	7.020612	4.769485	36.59171
"LRRC23"	913.2706	909.105	496.914	644.0867
"NOX4"	39.70568	952.8691	138.0685	4357.165
"TNFSF10"	182.6292	106.1064	326.6989	249.3427
"GSTT1"	4595.274	4942.016	2211.583	2036.155
"PEPD"	6812.519	5405.692	4028.593	4448.892
"SLK"	176.9286	60.55396	900.9371	766.3379
"MLANA"	7.852576	5.394979	-6.475187	20.88681
"LOC128977"	321.2438	387.8173	236.3498	280.7695
"RYR3"	31.46875	12.20108	2.616115	40.93707
"SCGB3A2"	52.80774	31.35371	24.70349	50.92859
"ROR2"	1916.508	812.7719	994.5195	594.3263
"COX5A"	11612.52	11736.09	7601.063	7177.351
"SLC28A2"	3.297667	11.74686	8.158391	43.9454
"GPR161"	30.69762	51.37845	22.54045	57.6273
"TNFRSF18"	7.231629	20.58519	18.74971	53.61095
"LRRFIP2"	476.0075	680.9271	1154.962	1404.218
"PVRL3"	280.4479	300.7377	592.2734	607.7332
"MMD2"	14.31398	9.144687	0.2296637	33.46271
"RPAP1"	141.7676	128.3618	87.83965	164.5606
"RAB3A"	35.23068	30.36708	25.02311	42.8247
"GSTA3"	19.87981	0.9613087	6.350066	37.31699
"DLGAP2"	56.57182	42.37918	191.8547	115.3335
"RNASE1"	416.9586	1013.372	341.8821	1323.638
"ZNF444"	458.1423	521.7942	218.6082	276.2193
"MBIP"	245.5328	169.1942	486.8147	390.3901
"RPLP0"	2052.398	1141.229	800.7581	697.1972
"ATPBD3"	129.3721	129.7128	88.79725	129.6317
"EPHA8"	14.06673	15.51895	8.821879	39.08234
"IGF2"	43.11058	44.95043	14.54728	41.19632
"CCL3L3"	8.000966	14.69369	-4.478103	39.95017
"TOLLIP"	590.9593	383.9357	312.8365	374.4848
"CDC14A"	12.32238	17.27427	4.471167	47.17248
"TMEM33"	27.81302	40.38249	29.8554	61.13846
"IPLA2(GAMMA)"	183.3343	198.1242	777.3223	902.8236
"DKK1"	5235.242	2612.608	6518.385	2585.552
"RALY"	2412.813	2551.083	931.6095	936.0982
"G10"	6498.028	8119.208	4030.074	5115.831
"TMEM56"	21.89929	43.86592	66.00282	115.1217
"ARL17P1"	25.8238	30.77862	24.48349	53.66961
"TM4SF11"	197.3477	363.3455	65.03698	137.9663
"TIMM23"	8258.05	8562.618	6062.704	5988.1
"ALG9"	1896.993	1958.946	1126.214	978.3588
"FAM100B"	1119.376	1667.038	658.3762	1065.113
"ZNF208"	13.30932	9.701828	2.42253	38.14744
"GABRP"	36.11464	49.92001	19.97308	67.10124
"KIAA0802"	24.72182	24.2569	9.5525	43.37849
"C10orf86"	1140.716	1335.242	1165.428	893.7205
"ARHGAP9"	36.6361	48.52759	30.39716	71.4851
"CAPS2"	-7.968256	2.37113	13.87592	64.4739
"C14orf108"	684.9902	627.444	1006.651	1184.229
"C2orf30"	1597.314	2356.04	2727.935	2672.815
"ZBTB10"	16.4853	28.70884	18.34693	63.34928
"ZNF317"	1033.932	751.797	602.0493	739.1832
"GPR45"	54.0711	49.95315	20.72248	73.42476
"RNF130"	1493.056	1562.804	896.9479	968.8591
"AJAP1"	-0.1717531	10.13242	2.821274	32.37566
"LOC55565"	127.8969	184.5192	74.52899	136.3985
"RNPEP"	3290.116	1883.562	1820.207	2230.383
"C14orf80"	346.8583	242.4055	172.0468	210.4208
"C11orf47"	29.58878	23.42947	11.48347	34.00036
"ANKRD27"	79.34134	65.46397	63.56704	93.30806
"PRKCQ"	111.8353	99.88405	46.90577	81.5913
"TAS2R14"	15.97289	15.59526	10.98847	42.69873
"MAP3K15"	16.77621	14.01426	3.582048	33.43415
"UNQ9433"	76.61494	77.24793	174.1143	120.6284
"OR6C75"	17.73835	21.67005	4.275762	33.89081
"MGC35043"	18.93078	22.35189	7.740756	35.19925
"TRIM31"	8.139423	7.475254	-2.381683	28.28755
"C14orf100"	976.2524	1742.95	2180.33	2560.51
"OR2D3"	36.70601	35.43803	56.9425	86.02322
"MFAP3L"	29.0443	66.57876	14.78124	51.60246
"TRIM26"	1336.763	955.8521	450.1667	429.4515
"RAB39B"	3.353742	5.203402	1.200987	27.67112
"CGN"	3277.473	1030.867	2991.301	1182.686
"TNIP1"	2163.414	2046.908	1404.05	1351.541
"C14orf159"	1748.772	1243.498	909.5977	614.7953
"C21orf45"	229.2435	195.9395	224.047	271.2621
"ATP2B2"	1.876435	13.95453	-5.551826	31.17835
"TMEM123"	1356.964	674.8455	4445.406	4107.131
"NUP210"	91.78123	59.46579	44.27574	50.33218
"CTGLF1"	27.03072	23.26461	31.87442	65.62694
"CT45-1"	11.65179	11.91331	11.31581	40.11689
"TMBIM4"	9760.534	8169.822	9471.885	9191.001
"MMRN2"	20.85516	21.76245	11.35119	32.44658
"TRAM1L1"	29.13747	43.03825	44.45467	55.95283
"FLJ11806"	256.5068	191.835	858.318	886.3796
"NEBL"	51.50343	54.65405	245.7835	166.5112
"DDOST"	9797.635	7797.258	4957.672	5548.532
"NKX6-1"	6.946415	23.19928	-4.024583	32.95439
"LSM1"	1365.972	2227.736	1926.701	1746.309
"NDP"	10.46942	5.244828	8.253779	35.54397
"COX6B1"	15423.47	9439.568	11162.46	11676.86
"MYLK2"	122.7881	102.461	49.98494	107.8471
"RAB38"	537.9825	367.9895	498.0646	323.8153
"C3orf52"	529.6844	882.2019	485.1863	557.325
"CHPF"	1739.152	877.9634	857.9381	810.9067
"DRG1"	3170.812	4481.986	1369.63	1276.402
"CPM"	16.13272	14.71084	2.496502	31.61991
"CCT7"	2458.415	2977.256	1515.267	1494.564
"FGFR3"	61.47402	149.1235	37.47433	75.89671
"PTS"	536.5664	754.1728	579.5461	739.6414
"EPN1"	10076.57	7472.259	5555.036	6269.666
"CTDSP2"	5846.476	2815.872	5082.701	5415.238
"RFX5"	1995.855	1482.222	1671.001	1647.544
"PLRG1"	3371.961	3557.613	2753.656	2597.709
"IFT81"	34.18473	27.80428	32.68023	64.75329
"CDX4"	1.180373	-3.11681	1.131966	26.03386
"LOC283874"	113.7933	97.13235	327.6205	335.3275
"MRFAP1L1"	1578.762	1725.19	1741.306	1809.722
"LOC388323"	5.215462	9.792812	3.012229	29.63457
"PLG"	2.340928	-2.079477	-6.506307	16.99965
"TBRG4"	1337.085	1642.532	670.1564	657.991
"ITGBL1"	142.4606	254.9341	302.7474	556.6555
"SLC34A3"	6.90818	2.398855	-1.201405	13.67448
"PRG3"	-3.61346	-1.736472	-9.678212	34.09782
"GPR55"	15.94825	11.67924	6.325118	24.39968
"THYN1"	146.8225	151.9407	115.2089	143.1513
"DDHD2"	942.4272	784.9263	662.9178	801.7355
"TFDP3"	3.608745	7.616966	-9.389235	24.53032
"EIF2C4"	37.34538	56.63024	57.21425	97.1006
"AER61"	90.37072	63.57505	282.2415	517.5421
"DOCK6"	324.523	230.5584	141.9765	192.1479
"AAAS"	366.9042	456.9027	262.1327	254.1293
"TTC17"	740.9873	582.6705	616.8984	638.5807
"C16orf46"	34.79959	46.67055	52.7496	90.49363
"MRPL1"	1224.164	1194.762	3215.22	3164.961
"SLC28A3"	119.1071	126.3781	56.51871	120.3531
"IRX6"	56.11499	72.4024	222.9383	308.6069
"ANKRD39"	499.2222	673.6463	196.4729	199.002
"ZNF573"	225.995	188.4487	461.3283	543.991
"CCDC77"	49.57753	55.08867	56.7698	82.07351
"UBXD4"	1381.891	1324.619	1335.717	1595.012
"SLC39A9"	109.4343	120.701	119.1408	172.0905
"GH1"	19.73291	14.67122	23.64535	43.73382
"NKD2"	93.38694	206.4895	44.29352	81.13028
"CD1B"	9.964087	4.489113	1.170945	27.38214
"ITIH5L"	25.02517	13.41063	1.295707	30.97391
"DDX56"	1919.63	1946.341	981.5148	1073.078
"FLJ46020"	13.45658	9.452887	11.22044	39.99447
"C10orf80"	26.7439	29.90412	50.73368	104.8596
"TAS2R5"	37.72897	23.42564	33.07849	67.77742
"ATPAF2"	437.9229	674.5981	273.9439	329.6532
"OR2F2"	21.78435	14.97021	0.6521492	39.1331
"PFDN4"	53.96503	122.286	274.1112	393.1398
"LRG1"	60.37042	61.38689	38.0698	82.56274
"MYOHD1"	3.784464	22.70142	5.277248	29.34517
"SLC32A1"	-11.18875	4.38929	-2.188759	20.25953
"RSPO3"	232.3792	188.529	241.1837	128.5907
"AP2S1"	23776.27	17281.7	13547.71	16401.89
"GAPDHS"	2.8067	10.02223	-5.030954	25.05725
"GALNT6"	141.392	126.8081	120.0319	191.4717
"C1QTNF5"	1340.456	1870.862	709.7466	923.1213
"EIF2S2"	446.6192	570.9639	360.169	355.4373
"TMEM43"	3764.361	2739.881	3011.275	3060.903
"NCBP2"	1620.04	1321.399	3299.3	3369.204
"ACO2"	1167.54	966.997	506.4293	372.7401
"CLEC12B"	21.88967	15.7843	4.752907	42.26848
"BAK1"	494.2106	606.679	170.0804	217.7999
"TEX12"	11.69833	11.52743	-4.7818	23.82735
"COL1A2"	21102.79	13619.95	8983.854	15159.54
"GPRC5B"	433.0379	218.1019	343.5312	180.2189
"LOC401498"	13.85317	20.37014	2.718791	34.84331
"ITIH5"	21.69307	20.27908	24.68132	38.70961
"TXNDC13"	1078.758	1232.437	734.295	588.6326
"MGC33302"	230.1703	256.1554	249.9764	245.0108
"METTL2A"	736.5156	735.6205	451.0923	466.889
"GSTM2"	530.316	634.9224	270.6844	184.6828
"ZNF683"	59.93589	52.90485	37.07259	57.38713
"PLAGL2"	252.4673	226.9957	144.1251	259.0611
"LOC440686"	50.51739	47.80808	64.7327	105.427
"MT1H"	887.4468	1193.196	2204.31	1241.914
"BFSP2"	8.755109	12.0747	-0.2349781	34.69996
"MIER1"	229.638	148.9009	1026.333	1159.333
"RPIA"	670.5713	969.3823	824.0811	945.4354
"PLEKHO1"	783.9952	660.7217	481.4209	875.3149
"CHP"	5889.258	4879.952	3882.101	3740.845
"ATIC"	7355.591	5526.252	3983.631	3614.18
"NPHP1"	17.24296	31.54943	16.07333	40.96434
"TCEAL1"	405.9467	692.4431	700.5291	594.5862
"TSPAN33"	1184.438	918.4365	594.8304	628.3969
"GUF1"	110.8201	139.9344	308.1991	320.8483
"ROCK1"	16.86062	19.60172	78.93459	127.4409
"NAGS"	40.20066	47.47062	18.30234	70.28451
"AKR1D1"	0.930612	-4.831095	-11.11129	21.1666
"SCGB3A1"	28.22078	46.25683	11.32592	31.99051
"LRRC4"	10.35441	15.49277	-2.314555	32.3828
"NUBP1"	519.9693	906.774	154.6333	183.8171
"CDH12"	9.340219	14.83544	26.43407	47.81459
"FAM106A"	-10.56858	0.1448434	-2.937178	17.01974
"GSCL"	17.59326	11.42873	1.387786	24.94178
"KLRA1"	2.340023	5.375938	3.536299	42.33972
"ZNF69"	116.4311	165.6627	217.0656	732.9609
"ACSS1"	163.2312	37.6516	85.14404	35.3408
"PSD2"	49.79523	40.965	60.83037	69.42212
"ZNF83"	537.9631	432.7962	2043.166	2232.255
"C16orf55"	34.19652	52.9991	26.43905	42.50302
"CHST8"	10.37386	15.56831	10.88985	19.23521
"MTBP"	-2.081081	11.57491	6.938419	40.43336
"C21orf90"	26.01233	30.2243	6.110813	39.43891
"BEX1"	1161.936	929.5403	534.1889	496.2762
"UBE2R2"	88.95039	98.84879	101.7684	109.7411
"AGBL3"	5.143062	11.73143	6.619302	37.77075
"CCDC52"	-0.6335321	17.14433	3.020439	26.0653
"RCHY1"	44.96169	26.01423	138.7254	205.1281
"MGC13017"	6.119027	4.027877	-8.844687	24.90888
"KIAA0256"	315.3718	164.3165	895.7491	904.2278
"SPATA20"	2360.583	1391.565	975.5775	820.2176
"AARSL"	682.3239	521.7737	468.5475	463.2563
"VHLL"	10.0246	13.20071	-7.970856	20.77251
"ALPPL2"	28.84949	29.78146	18.00779	43.84328
"RABL3"	271.9857	274.1592	243.1808	237.5609
"MNAT1"	470.7093	830.2674	824.5354	979.5195
"TNFAIP3"	1063.52	1347.221	865.3674	621.0671
"C1orf151"	67.34251	68.31153	36.33776	60.02465
"SRXN1"	1955.594	2493.672	884.7584	990.2919
"MRAP"	52.95176	89.22544	20.29103	38.56086
"ING3"	32.9041	33.66182	74.47281	124.9533
"C5orf15"	4989.59	5759.062	5901.038	7207.174
"MGC71805"	6.647355	18.47634	7.858645	31.95901
"MATN2"	7265.016	5887.607	8434.191	7358.183
"ATP6V0A2"	256.7593	303.379	259.5335	391.347
"CLDN6"	26.20941	17.21018	3.818536	33.59975
"SLC35E1"	2552.906	2348.163	1238.346	1862.405
"BMP10"	10.60944	4.630968	-7.2845	26.3052
"HSPBAP1"	411.7486	631.2277	337.8683	647.557
"LOC339977"	3.397623	6.635488	16.88558	60.56884
"IL4I1"	8.114818	9.356744	-4.346559	31.56058
"CIP29"	5004.24	6826.087	4757.281	5621.208
"LOC158572"	51.4808	48.18788	25.14088	52.42395
"FLJ40453"	25.51545	24.9553	13.18433	48.49939
"IFI30"	1027.967	1456.451	393.3932	392.573
"RPLP1"	9958.988	9244.964	12549.37	15189.69
"ACPP"	32.71186	61.4331	15.40093	40.05016
"GEMIN6"	1640.258	1756.387	968.6347	881.9011
"PRKAB1"	656.9103	650.0457	245.8967	373.4916
"ZNF233"	17.36484	33.68026	69.28739	112.13
"MAP3K11"	567.0557	499.2691	232.1996	318.1689
"GLP2R"	0.668238	3.363532	-6.429438	16.98765
"CSTF2"	823.6559	1085.776	668.2662	717.1519
"LOC63929"	23.8925	32.62244	11.2614	41.81321
"CATSPER3"	24.69048	20.92271	20.91682	57.73494
"FBXO40"	20.41703	8.145804	6.664045	28.83801
"INHBA"	39.68282	19.42986	13.63919	58.96431
"LYAR"	168.6621	231.1054	308.8503	250.9728
"FLJ31952"	71.12299	53.39526	45.58987	99.28001
"ADRA2A"	380.2248	257.4356	286.3776	224.3394
"CHRND"	5.166094	13.18436	5.414214	41.07183
"DPT"	39.88844	39.37502	12.81447	56.85728
"SCGB1D1"	5.275333	4.627361	-1.973357	26.54266
"PDK4"	152.8767	92.76826	397.691	360.1813
"ZNF70"	26.27632	31.90621	11.52238	32.82968
"KIAA0367"	1112.058	1105.049	2192.884	1187.839
"SGIP1"	5.260818	8.034712	3.127549	27.61267
"ANKRD40"	442.4787	419.3239	262.8881	382.7539
"ALS2CR4"	1420.918	1628.046	1964.294	2258.323
"PHLDB2"	315.6032	136.0499	981.541	969.1442
"DNAJA4"	724.2058	763.5313	560.8519	668.8939
"PPIL6"	49.5697	71.19887	86.42522	124.384
"FIBCD1"	77.11646	146.4231	59.82272	158.5818
"LPPR2"	722.2898	750.3096	343.2113	484.7924
"HECTD2"	75.59023	76.04853	123.2558	155.3641
"CXorf17"	21.106	2.886479	-5.426314	23.48306
"C21orf63"	1621.086	878.1696	581.5652	284.4951
"DNM1"	200.2643	293.4198	109.3645	231.6208
"LOC387882"	1310.695	2310.086	1669.761	1683.513
"GPR87"	14.20216	42.31367	5.77129	104.3694
"WDR18"	5321.996	4128.144	3012.9	3151.519
"ZNF662"	10.68803	16.84234	16.09459	54.72637
"ZWINT"	100.9712	107.0481	74.22453	74.16351
"OR2L3"	9.139	20.4437	6.721442	29.9363
"OR5D14"	7.396845	12.81742	5.63625	33.64085
"C6orf70"	537.58	593.0139	422.5675	357.0097
"CXorf33"	105.15	190.304	79.98688	95.31061
"ARSD"	1809.256	1378.643	824.6578	858.4262
"RASGRF2"	42.08732	34.51063	15.36098	88.98193
"OR5B3"	16.01167	17.84536	4.114899	40.15546
"NHLRC2"	113.181	125.0643	105.448	134.2195
"DEFB118"	26.18012	21.16072	4.468895	33.67315
"GGTL3"	73.62997	50.53356	65.37876	78.57916
"RBBP7"	3620.319	4092.648	3581.192	3809.178
"LYPD3"	77.20531	62.43794	58.22868	82.34749
"CHRNA3"	51.1797	36.63979	24.61349	55.64951
"CT45-4"	3.503853	14.40392	-0.5954073	32.88387
"SMARCA2"	2147.27	2280.37	5476.766	4567.059
"LOC389852"	4.830744	6.201496	-7.820929	28.87948
"APP"	384.0876	380.9936	922.9152	1241.32
"SSR1"	1136.783	1148.811	2510.171	2745.759
"XRCC2"	30.42285	35.95289	26.8084	48.41745
"KLRC4"	-3.56211	-1.746604	-5.812158	26.29876
"PRSS7"	19.5493	4.953313	-3.098384	27.61344
"NSF"	3092.126	2345.788	3081.844	2673.777
"UCK2"	1007.196	1792.848	559.7456	850.1441
"SLC35A1"	762.8889	1214.212	1977.018	2239.306
"HYAL3"	424.5262	452.9092	164.1931	284.3668
"LOC257358"	34.57627	30.89246	15.18971	52.71342
"RNF8"	285.4337	337.4525	213.9507	202.6438
"GPR103"	46.98463	34.03139	19.17675	39.24405
"F8A1"	573.045	425.4152	165.47	184.7027
"KIAA1618"	431.5676	352.4096	924.5201	1239.945
"SUFU"	730.494	477.9825	414.8869	391.6733
"NEU1"	3667.999	3578.277	1315.011	849.0507
"ASPN"	15.84376	14.36386	60.25284	148.8363
"SPINT1"	38.05512	78.01609	8.825216	98.24426
"PRKCG"	26.36564	24.0739	19.72727	51.44562
"MYH10"	8006.75	7806.831	12993.28	13453.06
"FPGS"	12.61115	21.13412	8.046759	50.66237
"GGA3"	190.2684	127.5463	106.6199	132.3012
"RECK"	529.008	496.8018	1292.511	1617.114
"DPYSL3"	11027.14	11454.38	10246.41	24808
"FLJ33167"	34.89086	39.03929	118.0797	124.2045
"HESX1"	11.74461	33.82432	15.9798	32.25576
"MAP2K4"	373.5921	535.2852	399.2767	441.3817
"TKTL1"	-9.485904	12.10621	-4.397535	30.91697
"CLDN4"	13.17146	11.31104	12.46257	31.20787
"ITK"	40.87003	35.31092	15.84826	54.55421
"SUPV3L1"	1007.317	947.1096	757.8062	796.3758
"FLJ46300"	34.13249	30.60967	7.732371	36.90899
"NKX2-2"	13.67459	14.51382	12.25022	44.74369
"EXOC1"	1507.234	1809.598	4328.77	4459.074
"KIAA0265"	68.75751	43.31361	42.77813	71.1094
"DRP2"	14.32325	14.9559	0.2795825	47.29007
"SLC18A1"	23.03304	17.57947	9.182348	45.88998
"OVCH1"	3.781219	13.0694	10.35424	34.72845
"C1orf111"	20.84016	28.65371	17.0388	40.23568
"FTSJ3"	362.793	295.6463	140.8198	195.8559
"KBTBD8"	53.75457	51.33601	143.8802	164.0813
"ATP13A5"	6.053934	12.55122	1.038238	33.68285
"C19orf18"	75.17197	70.55023	86.29183	156.7891
"VSIG2"	361.5651	390.2966	213.912	209.8818
"ZNF300"	16.19162	26.36516	49.92408	87.90309
"AHSA2"	407.0206	399.4035	1145.123	1292.061
"EVA1"	19.91788	14.68994	0.9814861	46.31067
"C18orf17"	476.6156	451.8844	272.9112	227.5119
"GPR26"	30.81033	33.48453	8.992551	48.4606
"OR3A4"	5.805195	4.659396	-7.451387	20.6481
"DCBLD1"	1326.906	3296.743	962.8537	3854.373
"TAGLN"	32315.7	17250.66	19604.63	30096.79
"ZC3H7A"	941.3986	776.3035	1388.419	1504.648
"BCL6B"	35.99787	24.93137	9.589515	42.10937
"DENR"	2440.267	3075.37	4727.714	5433.743
"PLCXD3"	26.29248	37.46194	15.1592	57.62601
"FLJ32206"	71.70625	26.54878	56.8712	81.20247
"FLJ32011"	40.68301	39.81284	24.37957	63.51616
"SH3BGR"	99.72974	55.75896	83.94653	113.8477
"PLXNA3"	844.5363	690.3569	404.446	637.307
"WDR32"	831.329	904.7722	573.608	872.7571
"OR2M2"	12.84852	14.7685	0.8770208	57.7049
"OR5K1"	12.61969	2.407572	2.786463	26.01529
"KRTAP10-4"	8.454327	13.87288	6.042277	29.01658
"C20orf114"	-4.290226	-2.408832	-0.7328433	19.57583
"NKTR"	251.4788	77.33372	1144.388	1463.363
"KRT24"	-0.1086858	18.05525	2.128567	30.94137
"PHF11"	2761.138	3169.852	2478.817	2231.094
"SBEM"	35.64922	27.03293	21.11483	69.04106
"FAM3B"	9.876159	7.557159	-2.522922	34.27481
"CYP19A1"	7.531659	15.66066	8.209905	37.8318
"HMGB4"	5.066413	6.810877	-8.37775	25.30143
"VN1R4"	25.39786	13.94051	9.758397	31.21578
"TUBB4"	899.9968	527.099	543.9501	344.1287
"NRG1"	-7.640726	4.936594	-0.1936734	22.99493
